exercise_id,image,kind_id,time,title,iframe
1,https://i.ytimg.com/vi/42srDHrF7p0/sddefault.jpg,3,1,[1분건강] 집에서도 할 수 있는 가슴근육 운동 [광화문의 아침] 412회 20170201,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/42srDHrF7p0' frameborder='0' allowfullscreen></iframe></div>"
2,https://i.ytimg.com/vi/nEjFOkdgDwc/sddefault.jpg,3,1,5가지 푸쉬업으로 가슴운동 | 40초운동 후 20초 휴식 (반복) 쉽지만 힘들다,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/nEjFOkdgDwc' frameborder='0' allowfullscreen></iframe></div>"
3,https://i.ytimg.com/vi/vgJtbJaWUqg/sddefault.jpg,3,5,팔굽혀펴기 5분. 실제로 매일 하는 가슴운동 루틴.,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/vgJtbJaWUqg' frameborder='0' allowfullscreen></iframe></div>"
4,https://i.ytimg.com/vi/KXQk145pvqw/sddefault.jpg,3,5,5분으로 가슴 근육 키울 수 있는 운동법,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/KXQk145pvqw' frameborder='0' allowfullscreen></iframe></div>"
5,https://i.ytimg.com/vi/c_5ENJWekbQ/sddefault.jpg,3,10,10분 만에 집에서 가슴 작살내는 루틴 (누구나 쉽게 가능) [10mins Intense Chest Workout],"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/c_5ENJWekbQ' frameborder='0' allowfullscreen></iframe></div>"
6,https://i.ytimg.com/vi/LzQ9vFYRS3Q/sddefault.jpg,3,10,하루 10분 푸쉬업! 부위별 가슴 운동 | 홈트레이닝,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed//LzQ9vFYRS3Q' frameborder='0' allowfullscreen></iframe></div>"
7,https://i.ytimg.com/vi/Di-lTiYsQeE/sddefault.jpg,3,20,초보자가 꼭 해야 할 푸쉬업 20분 루틴 | 홈트레이닝,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/Di-lTiYsQeE' frameborder='0' allowfullscreen></iframe></div>"
8,https://i.ytimg.com/vi/lmSltX5Tloo/sddefault.jpg,2,1,[데스런 조성준] 도구 없이 등운동 하는 법.,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/lmSltX5Tloo' frameborder='0' allowfullscreen></iframe></div>"
9,https://i.ytimg.com/vi/PosWZ3eqXxg/sddefault.jpg,2,1,맨몸등운동 집에서하는등운동 필라테스,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/PosWZ3eqXxg' frameborder='0' allowfullscreen></iframe></div>"
10,https://i.ytimg.com/vi/ZXISY-28heY/sddefault.jpg,2,1,스모데드리프트_맨몸등운동_집에서 등운동_주원홈트,"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://www.youtube.com/embed/ZXISY-28heY' frameborder='0' allowfullscreen></iframe></div>"
